id,name,Target_Disorder,Indication,Side_Effects,Substitutes,Chemical Class,Therapeutic Class,Action Class,Habit Forming
29188,abroxyl 25mg tablet,Anxiety,Treatment of Anxiety; Treatment of Skin conditions with inflammation & itching,"Constipation, Nausea, Sedation, Upset stomach, Vomiting","Hyzox 25 Tablet, Hizet 25mg Tablet, Hydil 25mg Tablet, Zyzine 25mg Tablet, Hizone 25mg Tablet",Piperazine Derivative,RESPIRATORY,H1 Antihistaminics (First Generation),No
5432,accimetil-md tablet,Anxiety,Treatment of Vertigo; Treatment of Nausea; Treatment of Vomiting; Treatment of Migraine; Treatment of Short term anxiety,"Drowsiness, Orthostatic hypotension (sudden lowering of blood pressure on standing)","Stimat 5mg Tablet MD, Prometil -MD Tablet, Tremiz 5mg Tablet MD, Eminorm 5mg Tablet MD, Proz 5mg Tablet MD",Phenothiazines Derivative,GASTRO INTESTINAL,Dopamine (D2) receptor antagonist- Prochlorperazine,No
8925,acopram-plus tablet,Anxiety,Treatment of Anxiety disorder,"Anorgasmia (decreased orgasm), Confusion, Delayed ejaculation, Diarrhea, Drowsiness, Low sexual desire, Memory impairment, Nausea, Tiredness, Uncoordinated body movements, Vomiting","Joycom Plus 0.5 mg/10 mg Tablet, Essita Plus Tablet, Galop Plus 10 Tablet, Censpram Plus Tablet, Feliz S Plus Tablet",,NEURO CNS,,Yes
19755,acoprax 0.5mg tablet sr,Anxiety,Treatment of Anxiety; Treatment of Panic disorder,"Drowsiness, Lightheadedness","Hipose 0.5mg Tablet SR, Texidep 0.5mg Tablet SR, Zomark 0.5mg Tablet SR, Zolipax 0.5mg Tablet SR, Ancolam 0.5mg Tablet SR",Benzodiazepines Derivative,NEURO CNS,Benzodiazepines,Yes
29087,acoprax 1.5mg tablet sr,Anxiety,Treatment of Anxiety; Treatment of Panic disorder,"Drowsiness, Lightheadedness","Nulam 1.5mg Tablet SR, Apal SR 1.5mg Tablet, Zolipax 1.5mg Tablet SR, Zolam 1.5mg Tablet SR, Pacyl 1.5mg Tablet SR",Benzodiazepines Derivative,NEURO CNS,Benzodiazepines,Yes
26253,acoprax 1mg tablet sr,Anxiety,Treatment of Anxiety; Treatment of Panic disorder,"Drowsiness, Lightheadedness","Ansilumirm 1mg Tablet SR, Anxit 1mg Tablet SR, Zolipax 1mg Tablet SR, Zolam 1mg Tablet SR, Alzy 1mg Tablet SR",Benzodiazepines Derivative,NEURO CNS,Benzodiazepines,Yes
12965,actirax 0.25mg tablet,Anxiety,Treatment of Anxiety; Treatment of Panic disorder,"Drowsiness, Lightheadedness","Alltop 0.25mg Tablet, Alprasafe 0.25mg Tablet, Nindra 0.25mg Tablet, Alora 0.25mg Tablet, Exal 0.25mg Tablet",Benzodiazepines Derivative,NEURO CNS,Benzodiazepines,Yes
24242,actirax 0.5mg tablet,Anxiety,Treatment of Anxiety; Treatment of Panic disorder,"Drowsiness, Lightheadedness","Alprasafe 0.5mg Tablet, Alparazole 0.5mg Tablet, Alprazol 0.5mg Tablet, Texidep 0.5mg Tablet, Zolipax 0.5mg Tablet",Benzodiazepines Derivative,NEURO CNS,Benzodiazepines,Yes
320,acuvert tablet,Anxiety,Treatment of Vertigo; Treatment of Nausea; Treatment of Vomiting; Treatment of Migraine; Treatment of Short term anxiety,"Drowsiness, Orthostatic hypotension (sudden lowering of blood pressure on standing)","Protil 5mg Tablet, Vestil 5mg Tablet, Nurotil 5mg Tablet, Nausetil 5mg Tablet, Navtil 5mg Tablet",Phenothiazines Derivative,GASTRO INTESTINAL,Dopamine (D2) receptor antagonist- Prochlorperazine,No
10388,adclobaz 10 tablet md,Anxiety,Treatment of Epilepsy/Seizures; Treatment of Severe anxiety,"Abnormality of voluntary movements, Aggression, Constipation, Decreased appetite, Depression, Difficulty in paying attention, Dizziness, Drug tolerance, Dryness in mouth, Fatigue, Headache, Irritability, Nausea, Restlessness, Sedation, Sleepiness, Speech disorder, Tremors","Closum 10mg Tablet MD, Lobaone 10mg Tablet MD, Lobacor 10mg Tablet MD, Solzam 10mg Tablet MD, Sizamat 10mg Tablet MD",Benzodiazepines Derivative,NEURO CNS,Benzodiazepines,Yes
5714,adclobaz 2.5 tablet md,Anxiety,Treatment of Epilepsy/Seizures; Treatment of Severe anxiety,"Abnormality of voluntary movements, Aggression, Constipation, Decreased appetite, Depression, Difficulty in paying attention, Dizziness, Drug tolerance, Dryness in mouth, Fatigue, Headache, Irritability, Nausea, Restlessness, Sedation, Sleepiness, Speech disorder, Tremors","Cloba MT 2.5 Tablet MD, Lobazam 2.5mg Tablet MD",Benzodiazepines Derivative,NEURO CNS,Benzodiazepines,Yes
6210,adcloz 0.25mg tablet md,Anxiety,Treatment of Anxiety disorder; Treatment of Epilepsy/Seizures,"Depression, Dizziness, Drowsiness, Fatigue, Impaired coordination, Memory impairment","Epizam 0.25mg Tablet MD, Onatril 0.25mg Tablet MD, Clodep 0.25mg Tablet MD, Zepam 0.25mg Tablet MD, Clonam IR 0.25mg Tablet MD",Benzodiazepines Derivative,NEURO CNS,Benzodiazepines,Yes
9650,adcloz 0.5mg tablet md,Anxiety,Treatment of Anxiety disorder; Treatment of Epilepsy/Seizures,"Depression, Dizziness, Drowsiness, Fatigue, Impaired coordination, Memory impairment","Lozep 0.5mg Tablet MD, Clodep 0.5mg Tablet MD, Prozepton 0.5mg Tablet MD, Clonapax 0.5mg Tablet MD, Clonam-IR 0.5 Tablet MD",Benzodiazepines Derivative,NEURO CNS,Benzodiazepines,Yes
24716,adcloz 1mg tablet md,Anxiety,Treatment of Anxiety disorder; Treatment of Epilepsy/Seizures,"Depression, Dizziness, Drowsiness, Fatigue, Impaired coordination, Memory impairment","Clodep 1mg Tablet MD, ONA 1mg Tablet MD, Prozepton 1mg Tablet MD, Lonacen 1mg Tablet MD, Filin 1mg Tablet MD",Benzodiazepines Derivative,NEURO CNS,Benzodiazepines,Yes
20399,adcloz 2mg tablet md,Anxiety,Treatment of Anxiety disorder; Treatment of Epilepsy/Seizures,"Depression, Dizziness, Drowsiness, Fatigue, Impaired coordination, Memory impairment","Prozepton 2mg Tablet MD, Zepam 2mg Tablet MD, Clonam IR 2mg Tablet MD, ONA 2mg Tablet MD, Clonapax 2mg Tablet MD",Benzodiazepines Derivative,NEURO CNS,Benzodiazepines,Yes
6458,adinep 10mg tablet,Anxiety,Treatment of Epilepsy/Seizures; Treatment of Severe anxiety,"Abnormality of voluntary movements, Aggression, Constipation, Decreased appetite, Depression, Difficulty in paying attention, Dizziness, Drug tolerance, Dryness in mouth, Fatigue, Headache, Irritability, Nausea, Restlessness, Sedation, Sleepiness, Speech disorder, Tremors","Epiford 10mg Tablet, Solzam 10mg Tablet, Zep 10mg Tablet, Lobachek 10mg Tablet, Clogaba 10mg Tablet",Benzodiazepines Derivative,NEURO CNS,Benzodiazepines,Yes
10400,adinep 20 tablet,Anxiety,Treatment of Epilepsy/Seizures; Treatment of Severe anxiety,"Abnormality of voluntary movements, Aggression, Constipation, Decreased appetite, Depression, Difficulty in paying attention, Dizziness, Drug tolerance, Dryness in mouth, Fatigue, Headache, Irritability, Nausea, Restlessness, Sedation, Sleepiness, Speech disorder, Tremors","Epizam 20mg Tablet, Clozam 20mg Tablet, Adobe 20mg Tablet, Risure 20mg Tablet, Clobator 20mg Tablet",Benzodiazepines Derivative,NEURO CNS,Benzodiazepines,Yes
18025,adinep 5mg tablet,Anxiety,Treatment of Epilepsy/Seizures; Treatment of Severe anxiety,"Abnormality of voluntary movements, Aggression, Constipation, Decreased appetite, Depression, Difficulty in paying attention, Dizziness, Drug tolerance, Dryness in mouth, Fatigue, Headache, Irritability, Nausea, Restlessness, Sedation, Sleepiness, Speech disorder, Tremors","Clodus 5mg Tablet, Clobazap 5mg Tablet, Lobachek 5mg Tablet, Czam 5mg Tablet, Clobanil 5mg Tablet",Benzodiazepines Derivative,NEURO CNS,Benzodiazepines,Yes
15398,adnil 0.5mg tablet,Anxiety,Treatment of Anxiety disorder; Treatment of Epilepsy/Seizures,"Depression, Dizziness, Drowsiness, Fatigue, Impaired coordination, Memory impairment","Clonapax 0.5mg Tablet, Clomid 0.50 Tablet, Clozakin 0.5mg Tablet, Ozepam 0.5mg Tablet, Restovis 0.5mg Tablet",Benzodiazepines Derivative,NEURO CNS,Benzodiazepines,Yes
5966,adobe 10mg tablet,Anxiety,Treatment of Epilepsy/Seizures; Treatment of Severe anxiety,"Abnormality of voluntary movements, Aggression, Constipation, Decreased appetite, Depression, Difficulty in paying attention, Dizziness, Drug tolerance, Dryness in mouth, Fatigue, Headache, Irritability, Nausea, Restlessness, Sedation, Sleepiness, Speech disorder, Tremors","Epiford 10mg Tablet, Solzam 10mg Tablet, Zep 10mg Tablet, Lobachek 10mg Tablet, Clogaba 10mg Tablet",Benzodiazepines Derivative,NEURO CNS,Benzodiazepines,Yes
6761,adobe 5mg tablet,Anxiety,Treatment of Epilepsy/Seizures; Treatment of Severe anxiety,"Abnormality of voluntary movements, Aggression, Constipation, Decreased appetite, Depression, Difficulty in paying attention, Dizziness, Drug tolerance, Dryness in mouth, Fatigue, Headache, Irritability, Nausea, Restlessness, Sedation, Sleepiness, Speech disorder, Tremors","Clodus 5mg Tablet, Clobazap 5mg Tablet, Lobachek 5mg Tablet, Czam 5mg Tablet, Clobanil 5mg Tablet",Benzodiazepines Derivative,NEURO CNS,Benzodiazepines,Yes
21784,adrax 25mg tablet,Anxiety,Treatment of Anxiety; Treatment of Skin conditions with inflammation & itching,"Constipation, Nausea, Sedation, Upset stomach, Vomiting","HD Zine 25mg Tablet, Hydrocas 25mg Tablet, Hyzox 25 Tablet, Hizet 25mg Tablet, Hydil 25mg Tablet",Piperazine Derivative,RESPIRATORY,H1 Antihistaminics (First Generation),No
10840,adulax tablet,Anxiety, Anxiety disorder,"Cold extremities, Confusion, Drowsiness, Memory impairment, Nightmares, Slow heart rate, Tiredness, Uncoordinated body movements","Alltop P 0.25mg/20mg Tablet, Cardilax 0.25mg/20mg Tablet, Beloc Plus 0.25mg/20mg Tablet, Proprazolam 0.25 mg/20 mg Tablet, Zepro 0.25mg/20mg Tablet",,NEURO CNS,,Yes
7584,adzin 25mg tablet,Anxiety,Treatment of Anxiety; Treatment of Skin conditions with inflammation & itching,"Constipation, Nausea, Sedation, Upset stomach, Vomiting","Hydrocas 25mg Tablet, Hyzox 25 Tablet, Hizet 25mg Tablet, Hydil 25mg Tablet, Zyzine 25mg Tablet",Piperazine Derivative,RESPIRATORY,H1 Antihistaminics (First Generation),No
18256,adzolam 0.25mg tablet,Anxiety,Treatment of Anxiety; Treatment of Panic disorder,"Drowsiness, Lightheadedness","Alltop 0.25mg Tablet, Alprasafe 0.25mg Tablet, Nindra 0.25mg Tablet, Alora 0.25mg Tablet, Exal 0.25mg Tablet",Benzodiazepines Derivative,NEURO CNS,Benzodiazepines,Yes
18374,adzolam 0.5mg tablet,Anxiety,Treatment of Anxiety; Treatment of Panic disorder,"Drowsiness, Lightheadedness","Alprasafe 0.5mg Tablet, Alparazole 0.5mg Tablet, Alprazol 0.5mg Tablet, Texidep 0.5mg Tablet, Zolipax 0.5mg Tablet",Benzodiazepines Derivative,NEURO CNS,Benzodiazepines,Yes
18126,aedon 10 mg tablet,Anxiety,Treatment of Epilepsy/Seizures; Treatment of Severe anxiety,"Abnormality of voluntary movements, Aggression, Constipation, Decreased appetite, Depression, Difficulty in paying attention, Dizziness, Drug tolerance, Dryness in mouth, Fatigue, Headache, Irritability, Nausea, Restlessness, Sedation, Sleepiness, Speech disorder, Tremors","Epiford 10mg Tablet, Solzam 10mg Tablet, Lobachek 10mg Tablet, Clogaba 10mg Tablet, Cloba 10 Tablet",Benzodiazepines Derivative,NEURO CNS,Benzodiazepines,Yes
15958,aeldol 25mg tablet,Anxiety,Treatment of Anxiety; Treatment of Skin conditions with inflammation & itching,"Constipation, Nausea, Sedation, Upset stomach, Vomiting","Hydrocas 25mg Tablet, Hyzox 25 Tablet, Hizet 25mg Tablet, Hydil 25mg Tablet, Zyzine 25mg Tablet",Piperazine Derivative,RESPIRATORY,H1 Antihistaminics (First Generation),No
15657,aenzo 0.25mg tablet,Anxiety,Treatment of Anxiety; Treatment of Panic disorder,"Drowsiness, Lightheadedness","Alltop 0.25mg Tablet, Alprasafe 0.25mg Tablet, Nindra 0.25mg Tablet, Alora 0.25mg Tablet, Exal 0.25mg Tablet",Benzodiazepines Derivative,NEURO CNS,Benzodiazepines,Yes
20156,aenzo 0.5mg tablet,Anxiety,Treatment of Anxiety; Treatment of Panic disorder,"Drowsiness, Lightheadedness","Alprasafe 0.5mg Tablet, Alparazole 0.5mg Tablet, Alprazol 0.5mg Tablet, Texidep 0.5mg Tablet, Zolipax 0.5mg Tablet",Benzodiazepines Derivative,NEURO CNS,Benzodiazepines,Yes
7229,afd-clona 0.25mg tablet md,Anxiety,Treatment of Anxiety disorder; Treatment of Epilepsy/Seizures,"Depression, Dizziness, Drowsiness, Fatigue, Impaired coordination, Memory impairment","Epizam 0.25mg Tablet MD, Onatril 0.25mg Tablet MD, Clodep 0.25mg Tablet MD, Zepam 0.25mg Tablet MD, Clonam IR 0.25mg Tablet MD",Benzodiazepines Derivative,NEURO CNS,Benzodiazepines,Yes
9007,afd-clona 0.5mg tablet md,Anxiety,Treatment of Anxiety disorder; Treatment of Epilepsy/Seizures,"Depression, Dizziness, Drowsiness, Fatigue, Impaired coordination, Memory impairment","Lozep 0.5mg Tablet MD, Clodep 0.5mg Tablet MD, Prozepton 0.5mg Tablet MD, Clonapax 0.5mg Tablet MD, Clonam-IR 0.5 Tablet MD",Benzodiazepines Derivative,NEURO CNS,Benzodiazepines,Yes
16254,afd-clona 1mg tablet md,Anxiety,Treatment of Anxiety disorder; Treatment of Epilepsy/Seizures,"Depression, Dizziness, Drowsiness, Fatigue, Impaired coordination, Memory impairment","Clodep 1mg Tablet MD, ONA 1mg Tablet MD, Prozepton 1mg Tablet MD, Lonacen 1mg Tablet MD, Filin 1mg Tablet MD",Benzodiazepines Derivative,NEURO CNS,Benzodiazepines,Yes
9920,afrax 0.25 tablet,Anxiety,Treatment of Anxiety; Treatment of Panic disorder,"Drowsiness, Lightheadedness","Alltop 0.25mg Tablet, Alprasafe 0.25mg Tablet, Nindra 0.25mg Tablet, Alora 0.25mg Tablet, Exal 0.25mg Tablet",Benzodiazepines Derivative,NEURO CNS,Benzodiazepines,Yes
9281,afrax 0.5 tablet,Anxiety,Treatment of Anxiety; Treatment of Panic disorder,"Drowsiness, Lightheadedness","Alprasafe 0.5mg Tablet, Alparazole 0.5mg Tablet, Alprazol 0.5mg Tablet, Texidep 0.5mg Tablet, Zolipax 0.5mg Tablet",Benzodiazepines Derivative,NEURO CNS,Benzodiazepines,Yes
7153,agatril 0.25mg tablet,Anxiety,Treatment of Anxiety disorder; Treatment of Epilepsy/Seizures,"Depression, Dizziness, Drowsiness, Fatigue, Impaired coordination, Memory impairment","Clozet   0.25mg Tablet, Clozakin 0.25mg Tablet, Clogis 0.25mg Tablet, Zapiz 0.25 Tablet, Clonax 0.25mg Tablet",Benzodiazepines Derivative,NEURO CNS,Benzodiazepines,Yes
6805,agatril 0.5mg tablet,Anxiety,Treatment of Anxiety disorder; Treatment of Epilepsy/Seizures,"Depression, Dizziness, Drowsiness, Fatigue, Impaired coordination, Memory impairment","Clonapax 0.5mg Tablet, Clomid 0.50 Tablet, Clozakin 0.5mg Tablet, Ozepam 0.5mg Tablet, Restovis 0.5mg Tablet",Benzodiazepines Derivative,NEURO CNS,Benzodiazepines,Yes
8802,agipam 1mg tablet,Anxiety,Treatment of Short term anxiety; Treatment of Anxiety disorder,"Balance disorder (loss of balance), Dizziness, Sedation, Weakness","Lzepam 1mg Tablet, Lopam 1mg Tablet, Lorel 1mg Tablet, Larpose 1mg Tablet, Texina 1mg Tablet",Benzodiazepines Derivative,RESPIRATORY,Benzodiazepines,Yes
7756,aktizine 25mg tablet,Anxiety,Treatment of Anxiety; Treatment of Skin conditions with inflammation & itching,"Constipation, Nausea, Sedation, Upset stomach, Vomiting","Hyzox 25 Tablet, Hizet 25mg Tablet, Hydil 25mg Tablet, Zyzine 25mg Tablet, Ntoxxy 25 Tablet",Piperazine Derivative,RESPIRATORY,H1 Antihistaminics (First Generation),No
8485,alam od 12.5mg capsule,Anxiety,Treatment of Anxiety; Treatment of Panic disorder,"Drowsiness, Lightheadedness",,Benzodiazepines Derivative,NEURO CNS,Benzodiazepines,Yes
8083,alap 0.5mg tablet,Anxiety,Treatment of Anxiety; Treatment of Panic disorder,"Drowsiness, Lightheadedness","Alprasafe 0.5mg Tablet, Alparazole 0.5mg Tablet, Alprazol 0.5mg Tablet, Texidep 0.5mg Tablet, Zolipax 0.5mg Tablet",Benzodiazepines Derivative,NEURO CNS,Benzodiazepines,Yes
23627,alark 0.25mg tablet,Anxiety,Treatment of Anxiety; Treatment of Panic disorder,"Drowsiness, Lightheadedness","Alltop 0.25mg Tablet, Alprasafe 0.25mg Tablet, Nindra 0.25mg Tablet, Alora 0.25mg Tablet, Exal 0.25mg Tablet",Benzodiazepines Derivative,NEURO CNS,Benzodiazepines,Yes
20054,alark 0.5mg tablet,Anxiety,Treatment of Anxiety; Treatment of Panic disorder,"Drowsiness, Lightheadedness","Alprasafe 0.5mg Tablet, Alparazole 0.5mg Tablet, Alprazol 0.5mg Tablet, Texidep 0.5mg Tablet, Zolipax 0.5mg Tablet",Benzodiazepines Derivative,NEURO CNS,Benzodiazepines,Yes
6369,alarm 0.5mg tablet,Anxiety,Treatment of Anxiety; Treatment of Panic disorder,"Drowsiness, Lightheadedness","Alprasafe 0.5mg Tablet, Alparazole 0.5mg Tablet, Alprazol 0.5mg Tablet, Texidep 0.5mg Tablet, Zolipax 0.5mg Tablet",Benzodiazepines Derivative,NEURO CNS,Benzodiazepines,Yes
15613,albeta 40mg tablet sr,Anxiety,Treatment of Pheochromocytoma; Treatment of Hypertension (high blood pressure);  Prevention of migraine; Treatment of Anxiety; Treatment of Arrhythmia,"Arrhythmia (irregular heartbeats), Diarrhea, Nausea, Raynaud's phenomenon, Tiredness, Vomiting, Weakness","Nigrain TR 40 Tablet SR, Trilol 40mg Tablet SR, HD 40mg Tablet SR, Migovib-SR 40 Tablet, Protal 40mg Tablet SR",Naphthalenes derivatives,CARDIAC,Beta blocker- Non selective,No
1629,albium 10mg tablet,Anxiety, Severe anxiety;  Alcohol withdrawal,"Balance disorder (loss of balance), Dizziness, Drowsiness, Fatigue, Lightheadedness, Sedation, Uncoordinated body movements, Unsteadiness","Anxizide 10mg Tablet, Peaceoxide 10mg Tablet, Serelib 10mg Tablet, Poxid 10mg Tablet, Cloxide 10mg Tablet",Benzodiazepines Derivative,NEURO CNS,Benzodiazepines,Yes
29085,albiz 0.5mg tablet,Anxiety,Treatment of Anxiety; Treatment of Panic disorder,"Drowsiness, Lightheadedness","Alprasafe 0.5mg Tablet, Alparazole 0.5mg Tablet, Alprazol 0.5mg Tablet, Texidep 0.5mg Tablet, Zolipax 0.5mg Tablet",Benzodiazepines Derivative,NEURO CNS,Benzodiazepines,Yes
17854,alcalm 0.25mg tablet,Anxiety,Treatment of Anxiety; Treatment of Panic disorder,"Drowsiness, Lightheadedness","Alltop 0.25mg Tablet, Alprasafe 0.25mg Tablet, Nindra 0.25mg Tablet, Alora 0.25mg Tablet, Exal 0.25mg Tablet",Benzodiazepines Derivative,NEURO CNS,Benzodiazepines,Yes
25056,alcalm 0.5mg tablet,Anxiety,Treatment of Anxiety; Treatment of Panic disorder,"Drowsiness, Lightheadedness","Alprasafe 0.5mg Tablet, Alparazole 0.5mg Tablet, Alprazol 0.5mg Tablet, Texidep 0.5mg Tablet, Zolipax 0.5mg Tablet",Benzodiazepines Derivative,NEURO CNS,Benzodiazepines,Yes
8811,alcam plus 0.5mg/10mg tablet,Anxiety,Treatment of Anxiety disorder,"Anorgasmia (decreased orgasm), Confusion, Delayed ejaculation, Diarrhea, Drowsiness, Low sexual desire, Memory impairment, Nausea, Tiredness, Uncoordinated body movements, Vomiting","Joycom Plus 0.5 mg/10 mg Tablet, Essita Plus Tablet, Galop Plus 10 Tablet, Censpram Plus Tablet, Feliz S Plus Tablet",,NEURO CNS,,Yes
28624,alcicalm 0.25mg tablet,Anxiety,Treatment of Anxiety; Treatment of Panic disorder,"Drowsiness, Lightheadedness","Alltop 0.25mg Tablet, Alprasafe 0.25mg Tablet, Nindra 0.25mg Tablet, Alora 0.25mg Tablet, Exal 0.25mg Tablet",Benzodiazepines Derivative,NEURO CNS,Benzodiazepines,Yes
21917,aldep 0.5mg tablet,Anxiety,Treatment of Anxiety; Treatment of Panic disorder,"Drowsiness, Lightheadedness","Alprasafe 0.5mg Tablet, Alparazole 0.5mg Tablet, Alprazol 0.5mg Tablet, Texidep 0.5mg Tablet, Zolipax 0.5mg Tablet",Benzodiazepines Derivative,NEURO CNS,Benzodiazepines,Yes
20585,aldip 0.25mg tablet,Anxiety,Treatment of Anxiety; Treatment of Panic disorder,"Drowsiness, Lightheadedness","Alltop 0.25mg Tablet, Alprasafe 0.25mg Tablet, Nindra 0.25mg Tablet, Alora 0.25mg Tablet, Exal 0.25mg Tablet",Benzodiazepines Derivative,NEURO CNS,Benzodiazepines,Yes
20141,aldro 10mg tablet,Anxiety,Treatment of Anxiety; Treatment of Skin conditions with inflammation & itching,"Constipation, Nausea, Sedation, Upset stomach, Vomiting","Evall 10mg Tablet, Hydil 10mg Tablet, Stoprax 10mg Tablet, Hynorax 10mg Tablet, Hydrobal 10 Tablet",Piperazine Derivative,RESPIRATORY,H1 Antihistaminics (First Generation),No
21031,aldro 25mg tablet,Anxiety,Treatment of Anxiety; Treatment of Skin conditions with inflammation & itching,"Constipation, Nausea, Sedation, Upset stomach, Vomiting","HD Zine 25mg Tablet, Hydrocas 25mg Tablet, Hyzox 25 Tablet, Hizet 25mg Tablet, Hydil 25mg Tablet",Piperazine Derivative,RESPIRATORY,H1 Antihistaminics (First Generation),No
10159,aleez 0.25mg tablet,Anxiety,Treatment of Anxiety; Treatment of Panic disorder,"Drowsiness, Lightheadedness","Alltop 0.25mg Tablet, Alprasafe 0.25mg Tablet, Nindra 0.25mg Tablet, Alora 0.25mg Tablet, Exal 0.25mg Tablet",Benzodiazepines Derivative,NEURO CNS,Benzodiazepines,Yes
11813,aleez 0.5mg tablet,Anxiety,Treatment of Anxiety; Treatment of Panic disorder,"Drowsiness, Lightheadedness","Alprasafe 0.5mg Tablet, Alparazole 0.5mg Tablet, Alprazol 0.5mg Tablet, Texidep 0.5mg Tablet, Zolipax 0.5mg Tablet",Benzodiazepines Derivative,NEURO CNS,Benzodiazepines,Yes
28322,alep 0.25mg tablet,Anxiety,Treatment of Anxiety; Treatment of Panic disorder,"Drowsiness, Lightheadedness","Alltop 0.25mg Tablet, Alprasafe 0.25mg Tablet, Nindra 0.25mg Tablet, Alora 0.25mg Tablet, Exal 0.25mg Tablet",Benzodiazepines Derivative,NEURO CNS,Benzodiazepines,Yes
14253,alfix 0.25mg tablet,Anxiety,Treatment of Anxiety; Treatment of Panic disorder,"Drowsiness, Lightheadedness","Alltop 0.25mg Tablet, Alprasafe 0.25mg Tablet, Nindra 0.25mg Tablet, Alora 0.25mg Tablet, Exal 0.25mg Tablet",Benzodiazepines Derivative,NEURO CNS,Benzodiazepines,Yes
15864,alfix 0.5mg tablet,Anxiety,Treatment of Anxiety; Treatment of Panic disorder,"Drowsiness, Lightheadedness","Alprasafe 0.5mg Tablet, Alparazole 0.5mg Tablet, Alprazol 0.5mg Tablet, Texidep 0.5mg Tablet, Zolipax 0.5mg Tablet",Benzodiazepines Derivative,NEURO CNS,Benzodiazepines,Yes
26682,alfresh 0.25mg tablet,Anxiety,Treatment of Anxiety; Treatment of Panic disorder,"Drowsiness, Lightheadedness","Alltop 0.25mg Tablet, Alprasafe 0.25mg Tablet, Nindra 0.25mg Tablet, Alora 0.25mg Tablet, Exal 0.25mg Tablet",Benzodiazepines Derivative,NEURO CNS,Benzodiazepines,Yes
5864,alfresh 0.5mg tablet,Anxiety,Treatment of Anxiety; Treatment of Panic disorder,"Drowsiness, Lightheadedness","Alprasafe 0.5mg Tablet, Alparazole 0.5mg Tablet, Alprazol 0.5mg Tablet, Texidep 0.5mg Tablet, Zolipax 0.5mg Tablet",Benzodiazepines Derivative,NEURO CNS,Benzodiazepines,Yes
